snapshot_date,total_staked,tvl_usd,percentage_supply,active_wallets,median_stake,max_stake,zero_stake_wallets,tier0,tier1,tier2,tier3,tier4
2025-09-16,139921598.13389024,2098823.971357744,36.343682006197206,1215,4902.0,15866498.6397906,30,725,172,105,70,143
2025-09-17,144125659.13389024,1825280.8513577443,37.386682006197205,1224,4950.0,15866498.6397906,36,732,171,105,73,143
2025-09-18,147019002.68232098,2582938.633185,38.137225079720096,1227,5000.0,15866498.6397906,41,733,168,105,76,145
2025-09-19,146092734.8949999,2178404.8402201817,37.89694809208817,1232,4950.0,15866498.6397906,43,739,168,103,79,143
2025-09-20,146147060.4949999,2064094.8556656863,37.91104033592734,1235,4950.0,15866498.6397906,44,740,169,103,80,143
2025-09-21,144871947.78111526,2070412.813482686,37.58027179795467,1235,4950.0,15866498.6397906,46,741,171,100,81,142
2025-09-22,146005739.0263029,1881492.7355607208,37.87438107037689,1237,4730.140613081684,15866498.6397906,49,743,171,99,81,143
2025-09-23,146535997.73046508,1758980.0173970931,38.01193196639821,1243,4950.0,15866498.6397906,51,746,174,98,81,144
2025-09-24,146894891.4226269,1644815.8850841809,38.10503020042202,1247,4950.0,15866498.6397906,51,750,169,100,83,145
2025-09-25,148281064.97546464,1617655.9674326845,38.46460829454335,1249,4950.0,15866498.6397906,51,750,169,100,83,147
2025-09-26,148808955.2572721,1535035.801777285,38.60154481381896,1252,4975.0,15866498.6397906,53,751,169,100,84,148
2025-09-27,148940288.1183429,1549469.0099786755,38.63561300086717,1253,4950.0,15866498.6397906,53,753,169,100,83,148
2025-09-28,147384626.39898777,1392572.48560842,38.23206910479579,1252,4975.0,15866498.6397906,56,751,172,99,84,146
2025-09-29,147162222.43973407,1315852.4835671063,38.174376767765,1252,4950.0,15866498.6397906,57,751,173,99,84,145
2025-09-30,147327531.93111044,1353263.7850753411,38.217258607291946,1253,4950.0,15866498.6397906,57,753,172,96,87,145
2025-10-01,148520465.66882515,1368057.654187309,38.52670964171859,1257,4950.0,15866498.6397906,58,754,172,97,88,146
2025-10-02,147574872.7614586,1426256.5425365758,38.28141965277785,1254,4950.0,15866498.6397906,63,753,171,97,88,145
2025-10-03,147254067.3757605,1412798.2260825853,38.19820165389377,1254,4862.307176307828,15866498.6397906,64,754,170,95,90,145
2025-10-04,147151225.21558607,1372436.8037304587,38.17152405073568,1254,4862.307176307828,15866498.6397906,66,754,171,95,89,145
2025-10-05,147803229.14580172,1294871.5738359566,38.34065606894986,1255,4745.389954641018,15866498.6397906,65,752,173,96,89,145
2025-10-06,147342964.9663308,1218695.7646812669,38.22126198867206,1257,4745.389954641018,15866498.6397906,65,754,173,97,89,144
2025-10-07,147591060.56130388,1212188.9949596787,38.28561882264693,1259,4526.993933583544,15866498.6397906,66,758,171,96,89,145
2025-10-08,147329926.9883757,1314828.2538165203,38.21787989322327,1258,4474.64193507297,15866498.6397906,67,758,172,95,88,145
2025-10-09,147348573.32827613,1279000.3513467696,38.22271681667345,1257,4173.25757117074,15866498.6397906,69,760,169,95,88,145
2025-10-10,147412370.3403118,1287508.4872945035,38.23926597673458,1257,4173.25757117074,15866498.6397906,69,761,169,94,87,146
2025-10-11,147340802.54812065,1122474.6487881436,38.22070105009615,1257,4169.528060601368,15866498.6397906,69,762,168,95,86,146
2025-10-12,147507281.23441777,1015459.2999642924,38.26388618272835,1257,4173.25757117074,15866498.6397906,69,760,168,95,88,146
2025-10-13,147314363.61635724,1036721.8876628416,38.21384270203819,1257,4000.0,15866498.6397906,69,761,168,95,88,145
2025-10-14,147762417.3235273,1172852.366512112,38.33006934462446,1258,4107.222257510791,15866498.6397906,70,761,168,94,90,145
2025-10-15,147488652.72444,1306116.7368183506,38.25905388442023,1263,4173.25757117074,15866498.6397906,70,764,170,94,89,146
2025-10-16,147084495.42283455,1330035.0833802489,38.15421411746681,1262,4171.392815886054,15866498.6397906,72,763,172,93,89,145
2025-10-17,145169417.69138035,1505520.0936054136,37.65743649581851,1259,4426.007356896065,15866498.6397906,85,757,179,87,92,144
2025-10-18,145344023.28072655,1244120.1307990614,37.70272977450754,1257,4426.007356896065,15866498.6397906,92,755,176,92,88,146
2025-10-19,144271433.29908833,1325173.51085345,37.424496316235626,1255,4173.25757117074,15866498.6397906,97,754,173,92,89,147
2025-10-20,144383239.57860407,1340415.012773074,37.45349924218005,1251,4305.56918189799,15866498.6397906,102,751,171,93,89,147
2025-10-21,144034791.04016277,1292081.377200705,37.363110516254935,1248,4109.087012795476,15866498.6397906,106,751,171,91,88,147
2025-10-22,143546391.75941077,1243542.3918117755,37.2364180958264,1246,4109.087012795476,15866498.6397906,109,751,170,90,89,146
2025-10-23,143238992.80587938,1224886.7611305565,37.15667777065613,1246,4109.087012795476,15866498.6397906,110,754,170,88,89,145
2025-10-24,143028920.8297828,1133192.39452862,37.10218439164275,1246,4109.087012795476,15866498.6397906,110,754,171,87,89,145
2025-10-25,126696589.67609055,1013663.9389532912,32.86552261377187,1243,3905.427253794474,4573863.530092592,113,754,172,85,88,144
2025-10-26,125536472.21093564,843251.0804058526,32.56458423111171,1243,3728.17393792596,4573863.530092592,114,755,173,85,88,142
2025-10-27,125924263.5780559,850205.3688852317,32.66517861946976,1245,3905.427253794474,4573863.530092592,114,755,173,85,89,143
2025-10-28,126418625.27086206,866063.6612606109,32.79341770969184,1248,3975.1718541073433,4573863.530092592,115,757,172,86,88,145
2025-10-29,126271507.75763762,760497.9352020792,32.75525493064529,1247,3905.427253794474,4573863.530092592,117,757,170,87,88,145
2025-10-30,127539550.01551664,490492.87684517406,33.08418936848681,1249,4173.25757117074,4573863.530092592,116,755,173,85,88,148
2025-10-31,128438078.72336829,402428.6101599937,33.31727074536142,1254,4474.64193507297,4573863.530092592,114,756,173,86,89,150
2025-11-01,128763420.39864206,410473.3191809952,33.4016654730589,1252,4474.64193507297,4573863.530092592,116,754,170,88,89,151
2025-11-02,129697135.39179584,423933.24462703953,33.64387429099762,1252,4589.327656356922,4573863.530092592,116,752,168,88,89,155
2025-11-03,129549342.81072354,424658.8592532674,33.60553639707485,1252,4474.64193507297,4573863.530092592,116,753,168,88,88,155
2025-11-04,130049141.03654689,425375.1344336204,33.73518574229491,1254,4525.13522341671,4573863.530092592,115,754,169,87,88,156
2025-11-05,130806791.9678949,413153.252430596,33.931722948870274,1254,4525.13522341671,4573863.530092592,117,754,168,87,86,159
2025-11-06,130833058.0798778,409860.7210468332,33.93853646689438,1253,4526.993933583544,4573863.530092592,118,753,169,86,86,159
2025-11-07,131776629.69656137,446650.2975250099,34.18330212621566,1253,4727.658390691497,4573863.530092592,119,750,171,86,87,159
2025-11-08,131943842.8421336,443498.8806299784,34.22667778006059,1254,4736.524172666257,4573863.530092592,119,751,171,86,87,159
2025-11-09,131880676.8083886,451278.5315503208,34.21029229789588,1253,4727.658390691497,4573863.530092592,120,750,171,86,87,159
2025-11-10,132042784.02634355,465102.2207430315,34.25234345689846,1252,4689.659884910898,4573863.530092592,121,749,171,86,86,160
2025-11-11,130448806.9254832,470766.2634088223,33.83886042165582,1253,4727.658390691497,4573863.530092592,121,750,171,86,88,158
2025-11-12,130415910.73425594,465393.0899325144,33.83032703871749,1253,4727.658390691497,4573863.530092592,121,750,171,86,89,157
2025-11-13,130748741.14337523,458920.2364887785,33.916664369228336,1257,4775.614352615655,4573863.530092592,121,751,173,87,89,157
2025-11-14,130933524.4228616,460591.4055385214,33.96459777506138,1258,4862.307176307828,4573863.530092592,121,751,174,86,89,158
2025-11-15,131138213.8065254,474882.945364742,34.01769489144628,1258,4862.307176307828,4573863.530092592,121,751,174,85,89,159
2025-11-16,132835098.37755875,506092.4263616124,34.45787247148087,1259,4949.0,4573863.530092592,122,752,173,84,89,161
2025-11-17,132582598.37755875,505029.6562618455,34.3923731199893,1259,4949.0,4573863.530092592,122,753,173,84,89,160
2025-11-18,132813178.37755875,507080.71504551935,34.45218634956129,1258,4949.5,4573863.530092592,123,752,173,83,89,161
2025-11-19,132975302.30050176,503977.7254719247,34.4942418418941,1257,4949.0,4573863.530092592,124,751,172,84,88,162
2025-11-20,132967308.45038076,491662.57907229697,34.49216821021551,1256,4862.307176307828,4573863.530092592,125,751,171,84,88,162
2025-11-21,132699846.43062817,486806.7326338308,34.422787660344525,1255,4949.0,4573863.530092592,127,750,172,84,88,161
2025-11-22,132755192.87585464,474148.4468754024,34.43714471487798,1255,4949.0,4573863.530092592,128,751,171,84,88,161
2025-11-23,132677756.32178038,470732.7187642975,34.417057411616184,1255,4949.0,4573863.530092592,128,751,171,84,88,161
2025-11-24,132720756.32178038,468411.3652864595,34.428211756622666,1255,4949.0,4573863.530092592,128,751,171,84,87,162
2025-11-25,132922509.68376514,449966.6213312881,34.480547259083046,1253,4775.614352615655,4573863.530092592,130,750,169,85,85,164
2025-11-26,132440056.72574036,445994.5398250653,34.355397334822406,1252,4760.502153628337,4573863.530092592,132,750,169,86,84,163
2025-11-27,132496635.46912172,444819.0295632901,34.37007405165285,1253,4949.0,4573863.530092592,131,750,170,86,84,163
2025-11-28,132177635.46593444,426325.7454318249,34.28732437508026,1251,4775.614352615655,4573863.530092592,133,749,170,87,83,162
2025-11-29,131723397.23767868,333903.00518984697,34.16949344686866,1249,4745.389954641018,4573863.530092592,135,749,169,88,83,160
2025-11-30,132482465.54546496,300231.7634191327,34.366398325671845,1250,4760.502153628337,4573863.530092592,135,748,169,88,84,161
2025-12-01,132541687.53390698,285855.30833812786,34.38176070918469,1250,4760.502153628337,4573863.530092592,135,748,169,88,84,161
2025-12-02,132693816.2491878,267056.9207067904,34.42122341094366,1251,4775.614352615655,4573863.530092592,135,748,170,88,85,160
2025-12-03,132976032.65307106,273370.79816785693,34.494431297813506,1251,4775.614352615655,4573863.530092592,135,748,169,89,85,160
2025-12-04,133160441.306252,267736.37810358946,34.542267524319584,1251,4775.614352615655,4573863.530092592,135,748,169,89,84,161
2025-12-05,133185461.8716327,269500.7820972488,34.54875794335479,1251,4775.614352615655,4573863.530092592,135,748,169,89,84,161
2025-12-06,133445710.23968825,264086.39165013825,34.616267247649354,1252,4862.307176307828,4573863.530092592,135,748,169,89,85,161
2025-12-07,133445710.23968825,259146.2314570649,34.616267247649354,1252,4862.307176307828,4573863.530092592,135,748,169,89,85,161
2025-12-08,133944352.80180134,261200.8640682088,34.7456168098058,1253,4775.614352615655,4573863.530092592,135,748,169,86,89,161
2025-12-09,133959684.7407899,260957.48466560093,34.749593966482465,1254,4862.307176307828,4573863.530092592,135,749,169,86,89,161
2025-12-10,134196318.8704035,266288.43946091906,34.81097765769221,1254,4949.5,4573863.530092592,136,748,170,85,89,162
2025-12-11,134872959.31071118,269060.7639881239,34.98650046970459,1256,4950.0,4573863.530092592,136,748,170,86,88,164
2025-12-12,135156883.3244943,274340.0902032253,35.060151316340935,1257,4950.0,4573863.530092592,136,748,170,86,89,164
2025-12-13,130756563.32449429,227583.10603191552,33.91869346938891,1255,4950.0,4573863.530092592,138,747,170,86,89,163
2025-12-14,134947536.12844157,241840.82897114145,35.005845947715066,1256,4975.0,4573863.530092592,138,746,170,86,90,164
2025-12-15,134947536.12844157,242183.59571290767,35.005845947715066,1256,4975.0,4573863.530092592,138,746,170,86,90,164
2025-12-16,134722535.7384416,237337.9967596978,34.94748008779289,1256,4975.0,4573863.530092592,138,746,171,86,90,163
2025-12-17,135967733.85695982,212774.54703541784,35.2704886788482,1256,4975.0,4573863.530092592,138,745,170,86,90,165
2025-12-18,136021083.85695982,211062.555610006,35.284327848757414,1255,5000.0,4573863.530092592,140,744,170,86,90,165
2025-12-19,136021083.85695982,173220.12987016118,35.284327848757414,1255,5000.0,4573863.530092592,140,744,170,86,90,165
2025-12-20,136062873.85695982,207392.47484773243,35.29516831568348,1255,5000.0,4573863.530092592,140,744,169,87,90,165
2025-12-21,136306150.13737118,210467.6003041121,35.35827500320913,1255,5000.0,4573863.530092592,140,744,169,87,90,165
2025-12-22,137528214.08300513,210228.3786115633,35.675282511804184,1256,5000.0,4573863.530092592,140,744,169,87,90,166
2025-12-23,137398214.08341438,210592.99068993088,35.64156007351865,1255,5000.0,4573863.530092592,141,744,169,87,89,166
2025-12-24,137437462.50702548,210517.0844458861,35.651741246958615,1256,4975.0,4573863.530092592,140,745,169,86,90,166
2025-12-25,137457625.0907239,215200.9086895355,35.65697148916314,1256,4975.0,4573863.530092592,140,744,170,86,90,166
2025-12-26,137518653.26733074,218174.71859515287,35.672802403976846,1257,5000.0,4573863.530092592,140,745,169,87,90,166
2025-12-27,137556153.26733074,217019.59188680234,35.68253003043599,1257,5000.0,4573863.530092592,140,745,168,88,90,166
